Student_ID,CGPA,Attendance,Study_Hours,Internship,Projects,Backlogs,Communication_Score,Aptitude_Score,Placed
1001,7.11,86.0,2.2,0,4,4,10,51.0,0
1002,9.59,93.0,5.8,1,1,3,4,39.0,0
1003,8.65,86.0,3.7,0,1,3,9,63.0,0
1004,8.07,58.0,7.6,1,1,3,6,38.0,0
1005,6.17,84.0,2.0,1,1,2,6,44.0,0
1006,6.17,91.0,3.4,1,2,4,4,90.0,0
1007,5.75,77.0,1.8,0,0,3,8,51.0,0
1008,9.22,93.0,7.5,0,3,2,4,44.0,0
1009,8.08,99.0,7.1,0,1,1,5,51.0,0
1010,8.54,69.0,2.8,0,4,1,4,94.0,0
1011,5.59,97.0,5.6,0,1,2,6,54.0,0
1012,9.67,83.0,6.7,0,4,2,10,58.0,0
1013,9.08,90.0,4.9,0,2,4,4,39.0,0
1014,6.41,67.0,4.7,0,4,4,8,68.0,0
1015,6.28,86.0,2.7,0,3,1,10,40.0,0
1016,6.29,,1.7,0,0,3,9,87.0,0
1017,6.81,76.0,7.3,0,4,1,7,36.0,0
1018,7.76,82.0,7.3,1,4,3,4,47.0,0
1019,7.36,56.0,5.4,0,0,3,8,77.0,0
1020,6.75,96.0,3.4,0,3,4,10,77.0,0
1021,8.13,99.0,3.4,0,1,0,8,82.0,0
1022,6.1,60.0,6.1,1,4,0,9,45.0,0
1023,6.76,82.0,7.3,0,0,2,6,85.0,0
1024,7.08,82.0,7.2,0,2,4,8,81.0,0
1025,7.46,98.0,6.5,0,0,3,10,91.0,0
1026,8.88,98.0,5.5,0,2,0,8,57.0,0
1027,6.36,74.0,,0,3,3,8,89.0,0
1028,7.71,84.0,2.1,0,1,0,8,50.0,0
1029,8.05,65.0,7.3,0,0,0,5,65.0,0
1030,5.7,82.0,5.2,1,4,0,5,45.0,0
1031,8.11,79.0,1.1,1,3,4,6,88.0,0
1032,6.23,93.0,1.7,0,0,1,4,50.0,0
1033,5.78,87.0,5.6,0,4,3,8,42.0,0
1034,9.58,55.0,1.0,1,0,4,9,38.0,0
1035,9.65,81.0,2.1,0,2,4,4,74.0,0
1036,8.98,67.0,4.8,0,0,4,9,38.0,0
1037,6.81,95.0,5.8,0,0,4,4,90.0,0
1038,5.92,57.0,5.6,0,0,4,6,59.0,0
1039,8.44,93.0,2.6,1,3,2,8,37.0,0
1040,7.39,60.0,6.0,1,0,3,8,66.0,0
1041,6.02,62.0,2.7,1,4,4,7,37.0,0
1042,7.63,81.0,3.3,0,2,3,9,61.0,0
1043,5.65,63.0,6.2,0,2,2,4,63.0,0
1044,9.41,91.0,5.5,0,0,2,4,66.0,0
1045,6.61,87.0,6.9,0,3,3,5,84.0,0
1046,8.35,96.0,5.6,0,3,0,7,95.0,0
1047,6.84,98.0,5.0,1,4,1,10,92.0,0
1048,7.74,78.0,1.7,1,0,0,10,85.0,0
1049,7.85,69.0,3.6,0,2,0,5,53.0,0
1050,6.29,86.0,2.9,1,3,0,5,55.0,0
1051,9.67,86.0,2.7,1,0,4,5,39.0,0
1052,8.83,78.0,7.8,0,3,2,9,52.0,0
1053,9.54,95.0,3.8,0,3,0,9,62.0,0
1054,9.35,66.0,7.2,0,2,2,6,76.0,0
1055,8.07,93.0,5.4,0,1,3,6,95.0,0
1056,9.46,56.0,6.6,0,4,1,5,56.0,0
1057,5.88,57.0,4.5,1,4,3,7,55.0,0
1058,6.34,91.0,5.0,0,2,3,4,40.0,0
1059,5.69,71.0,4.4,0,3,4,9,35.0,0
1060,6.9,56.0,2.4,0,0,1,7,39.0,0
1061,7.17,56.0,6.1,0,3,3,8,75.0,0
1062,6.67,,3.0,1,2,3,9,46.0,0
1063,9.06,77.0,1.2,1,4,1,9,60.0,0
1064,7.03,91.0,5.5,0,3,1,6,80.0,0
1065,6.71,86.0,2.2,0,4,3,4,68.0,0
1066,7.83,87.0,7.6,0,0,1,4,83.0,0
1067,6.11,55.0,7.7,0,4,3,10,48.0,0
1068,8.95,73.0,7.4,0,4,3,10,60.0,0
1069,5.82,56.0,3.6,0,1,4,10,79.0,0
1070,9.74,98.0,1.1,0,1,0,10,61.0,0
1071,8.82,80.0,7.5,0,1,3,8,43.0,0
1072,6.35,86.0,4.0,0,4,2,8,60.0,0
1073,5.52,60.0,7.8,0,2,0,9,91.0,0
1074,9.01,86.0,7.7,0,4,0,5,81.0,0
